bridge_id,bridge_type,material,year_built,age_years,design_life_years,location,corrosion_environment,corrosion_rate_mm_yr,condition_rating,structurally_deficient,adt,deck_area_sqft,tensile_strength_MPa,yield_strength_MPa,paris_C,paris_m,original_thickness_mm,remaining_thickness_mm,fatigue_cycles_millions,replacement_cost_M,loan_outstanding_M,last_inspection_date,insurance_premium_K_yr,expected_cost,risk_std
BR-00015,Interstate,Reinforced Concrete,1958,66,50,Rural South,Mild,0.0179,8,0,11382,5757.0,25,20,0.0,0.0,53.7,52.6,274.2,1.82,0.94,2021-03-14,40.9,7.097220000000004,2.6645352591003757e-15
BR-00016,Highway,Reinforced Concrete,1996,28,50,Industrial New Jersey,Moderate,0.0328,8,0,44629,4285.0,25,20,0.0,0.0,54.3,53.3,456.1,1.38,1.04,2021-03-07,21.5,3.211479399999999,0.3686184762266265
BR-00017,Highway,Reinforced Concrete,1965,59,75,Coastal Florida,Severe,0.0732,5,0,33395,5787.0,25,20,0.0,0.0,45.8,41.5,719.2,1.42,0.68,2021-10-02,17.3,4.056910000000002,1.7763568394002505e-15
BR-00018,Local Road,Prestressed Concrete,1975,49,100,Urban Northeast,Moderate,0.0277,7,0,7856,1173.0,35,28,0.0,0.0,69.7,68.3,140.5,0.2,0.14,2020-07-25,2.4,0.50001952,0.0629095991403538
BR-00019,Highway,Reinforced Concrete,1964,60,60,Pacific Northwest,Mild,0.0279,7,0,87766,1408.0,25,20,0.0,0.0,69.8,68.1,1922.1,0.55,0.18,2021-11-01,6.9,1.2404391999999997,0.16022662414268107
BR-00020,Local Road,Reinforced Concrete,1991,33,100,Rural Midwest,Mild,0.0231,8,0,2880,1868.0,25,20,0.0,0.0,47.0,46.3,34.7,0.74,0.35,2022-11-17,9.9,1.8417099999999993,6.661338147750939e-16
BR-00021,Interstate,Steel (A36),1969,55,100,Urban Northeast,Moderate,0.0819,5,0,62143,2039.0,450,250,6.9e-12,3.0,22.0,17.5,1247.5,0.67,0.2,2020-12-17,14.2,2.1463,4.440892098500626e-16
BR-00022,Local Road,FRP Composite,2010,14,75,Rural South,Mild,0.0141,9,0,3949,5536.0,600,500,0.0,0.0,16.1,15.9,20.2,1.48,0.89,2021-10-16,13.2,2.6245460400000002,0.22993200000000008
BR-00023,Interstate,Composite Steel-Concrete,2000,24,100,Rural Midwest,Mild,0.0212,8,0,10962,2757.0,400,230,6.5e-12,3.0,45.6,45.1,96.0,0.95,0.71,2020-03-13,10.7,2.4918399999999994,4.440892098500626e-16
BR-00024,Interstate,Steel (A514 HY),1937,87,100,Urban West,Mild,0.0377,6,0,32049,9110.0,760,690,4.5e-12,3.2,17.3,14.1,1017.7,3.6,1.82,2023-08-27,31.1,10.563410000000001,0.0
BR-00025,Highway,Reinforced Concrete,1947,77,60,Coastal Texas,Severe,0.0401,7,0,44774,487.0,25,20,0.0,0.0,42.8,39.7,1258.4,0.11,0.08,2020-01-27,2.0,0.3771272,0.04733708742371039
BR-00026,Railroad,Composite Steel-Concrete,1963,61,60,Industrial New Jersey,Moderate,0.0926,4,1,43,4094.0,400,230,6.5e-12,3.0,62.9,57.2,47.9,1.35,0.7,2023-11-15,30.3,4.6093499200000005,0.5673641854102845
BR-00027,Pedestrian,Cast Iron,1992,32,100,Coastal California,Moderate,0.0383,8,0,4234,3751.0,200,130,1.2e-11,3.8,19.1,17.9,4.9,0.81,0.51,2021-08-20,14.4,2.31504,0.0
BR-00028,Highway,Reinforced Concrete,2013,11,50,Coastal Texas,Severe,0.0319,9,0,43096,3350.0,25,20,0.0,0.0,42.3,42.0,173.0,0.68,0.37,2021-12-02,12.6,1.5451800000000007,4.440892098500626e-16
BR-00029,Interstate,Composite Steel-Concrete,1937,87,100,Industrial Ohio,Moderate,0.0788,3,1,5885,1033.0,400,230,6.5e-12,3.0,69.1,62.3,186.9,0.37,0.29,2022-10-15,7.0,1.6496999999999993,6.661338147750939e-16
BR-00030,Railroad,Steel (A36),1977,47,100,Industrial Ohio,Moderate,0.0394,8,0,24,1299.0,450,250,6.9e-12,3.0,21.6,19.8,20.6,0.35,0.25,2023-06-15,3.3,0.9816299999999997,3.3306690738754696e-16
BR-00031,Local Road,Prestressed Concrete,1992,32,100,Coastal Carolina,Severe,0.0465,8,0,4871,3659.0,35,28,0.0,0.0,49.3,47.8,56.9,0.69,0.41,2022-11-17,10.4,1.5191978400000001,0.17225754203788698
BR-00032,Local Road,Reinforced Concrete,2001,23,75,Coastal Texas,Severe,0.0274,8,0,346,6486.0,25,20,0.0,0.0,54.1,53.4,2.9,1.85,0.56,2022-06-27,24.4,3.144123840000001,0.34826520009518275
BR-00033,Highway,Prestressed Concrete,1975,49,50,Coastal Texas,Severe,0.0524,6,0,31650,1007.0,35,28,0.0,0.0,57.6,55.0,566.1,0.19,0.13,2021-06-09,3.4,0.544992,0.07216419089652429
BR-00034,Highway,Cast Iron,1976,48,100,Urban Northeast,Moderate,0.0247,7,0,17924,3448.0,200,130,1.2e-11,3.8,18.9,17.7,314.0,0.71,0.52,2023-06-25,6.3,1.6749131999999995,0.20881563351676907
BR-00035,Railroad,Steel (A36),1983,41,50,Industrial Michigan,Moderate,0.0536,7,0,114,3864.0,450,250,6.9e-12,3.0,22.2,20.0,85.3,0.9,0.28,2023-11-15,11.2,1.78476096,0.2326165150099744
BR-00036,Highway,Steel (A36),1990,34,100,Rural South,Mild,0.0503,8,0,25099,4055.0,450,250,6.9e-12,3.0,24.2,22.5,311.5,0.67,0.41,2023-06-19,11.8,1.9255600000000006,4.440892098500626e-16
BR-00037,Interstate,Steel (A588 Weathering),2009,15,75,Industrial Ohio,Moderate,0.037,8,0,21527,1739.0,485,345,5.2e-12,2.8,17.6,17.0,117.9,0.42,0.22,2023-05-13,3.4,0.7357768000000002,0.08573277406167377
BR-00038,Highway,Reinforced Concrete,1993,31,75,Pacific Northwest,Mild,0.0225,9,0,22067,1541.0,25,20,0.0,0.0,59.0,58.3,249.7,0.4,0.27,2023-05-22,6.1,0.8828111599999999,0.0780015491296705
BR-00039,Railroad,Composite Steel-Concrete,1994,30,60,Urban Northeast,Moderate,0.0764,7,0,116,2451.0,400,230,6.5e-12,3.0,43.8,41.5,63.5,0.53,0.42,2022-11-01,8.7,1.3112707999999997,0.1660050443510377
BR-00040,Interstate,Prestressed Concrete,1974,50,50,Urban Northeast,Moderate,0.0291,9,0,3627,2745.0,35,28,0.0,0.0,68.6,67.1,66.2,1.08,0.74,2023-07-14,12.4,2.508076,0.23527964906468224
BR-00041,Local Road,Composite Steel-Concrete,1977,47,100,Rural South,Mild,0.0552,7,0,2838,1922.0,400,230,6.5e-12,3.0,68.4,65.8,48.7,0.48,0.27,2022-10-18,3.8,1.0141240599999997,0.1257550357318147
BR-00042,Interstate,Steel (A36),1937,87,100,Rural South,Mild,0.03,7,0,19453,2324.0,450,250,6.9e-12,3.0,24.6,22.0,617.7,0.71,0.54,2023-07-04,7.5,2.47325,4.440892098500626e-16
BR-00043,Highway,Composite Steel-Concrete,2007,17,75,Rural Mountain,Mild,0.0208,8,0,28159,788.0,400,230,6.5e-12,3.0,52.8,52.4,174.7,0.22,0.13,2021-03-04,3.2,0.42927059999999995,0.049065503860794085
BR-00044,Railroad,Reinforced Concrete,1964,60,60,Coastal California,Moderate,0.0461,8,0,44,4284.0,25,20,0.0,0.0,57.2,54.5,48.2,1.36,1.05,2021-11-18,11.9,4.0611999999999995,8.881784197001252e-16
BR-00045,Local Road,Prestressed Concrete,1977,47,75,Rural South,Mild,0.0245,8,0,373,1616.0,35,28,0.0,0.0,55.5,54.4,6.4,0.52,0.22,2020-07-16,11.5,1.6646500000000006,6.661338147750939e-16
BR-00046,Highway,Prestressed Concrete,1978,46,75,Rural Midwest,Mild,0.0129,9,0,21232,1903.0,35,28,0.0,0.0,50.0,49.4,356.5,0.48,0.38,2020-05-25,6.7,1.2028955399999999,0.09877191447774818
BR-00047,Highway,Steel (A36),1984,40,60,Coastal Carolina,Severe,0.1109,6,0,58161,481.0,450,250,6.9e-12,3.0,15.9,11.5,849.2,0.09,0.05,2020-09-04,1.7,0.27040000000000003,0.0
BR-00048,Highway,Prestressed Concrete,1975,49,60,Coastal Texas,Severe,0.0463,7,0,33773,2071.0,35,28,0.0,0.0,49.3,47.0,604.0,0.68,0.48,2020-04-18,6.8,1.6217645200000006,0.20586235623946803
BR-00049,Railroad,Prestressed Concrete,1980,44,75,Urban West,Mild,0.0128,8,0,117,2953.0,35,28,0.0,0.0,57.4,56.8,94.0,0.79,0.49,2021-01-02,16.5,2.1233510000000004,0.24554546225080207
BR-00050,Local Road,Steel (A588 Weathering),1981,43,75,Industrial Michigan,Moderate,0.0367,7,0,2242,1634.0,485,345,5.2e-12,2.8,16.5,14.9,35.2,0.43,0.17,2023-07-25,5.0,0.8881054999999997,0.1113922250922388
BR-00051,Pedestrian,Steel (A36),1975,49,75,Desert Southwest,Mild,0.0168,8,0,9896,818.0,450,250,6.9e-12,3.0,24.7,23.9,17.7,0.16,0.06,2022-01-05,2.2,0.4261400000000001,1.1102230246251565e-16
BR-00052,Interstate,Reinforced Concrete,2001,23,75,Coastal Florida,Severe,0.0638,7,0,13729,614.0,25,20,0.0,0.0,63.7,62.3,115.3,0.18,0.06,2022-01-05,4.2,0.4375799999999998,2.220446049250313e-16
BR-00053,Highway,Prestressed Concrete,1948,76,100,Industrial Ohio,Moderate,0.0401,7,0,20591,8861.0,35,28,0.0,0.0,57.4,54.3,571.2,2.03,1.0,2020-06-07,32.2,5.99315224,0.7529905078923638
BR-00054,Highway,Reinforced Concrete,1944,80,60,Industrial New Jersey,Moderate,0.0449,5,0,11392,3815.0,25,20,0.0,0.0,62.8,59.2,332.6,1.08,0.73,2021-05-01,21.1,4.0227,0.5239344288912117
BR-00055,Local Road,Reinforced Concrete,1991,33,75,Urban West,Mild,0.0234,9,0,7328,1093.0,25,20,0.0,0.0,59.3,58.5,88.3,0.28,0.19,2023-06-23,3.3,0.5957459900000001,0.05116166103849248
BR-00056,Local Road,Reinforced Concrete,1965,59,100,Rural South,Mild,0.0319,7,0,4311,2288.0,25,20,0.0,0.0,42.2,40.3,92.8,0.63,0.28,2022-01-20,14.3,1.9231074199999998,0.23823896704254252
BR-00057,Interstate,Steel (A588 Weathering),1990,34,75,Rural South,Mild,0.0262,9,0,14118,2873.0,485,345,5.2e-12,2.8,14.1,13.2,175.2,1.13,0.59,2021-11-12,9.8,2.11910772,0.20016330782878272
BR-00058,Interstate,Steel (A36),1960,64,60,Industrial New Jersey,Moderate,0.0814,5,0,61322,15031.0,450,250,6.9e-12,3.0,20.7,15.5,1432.5,2.59,1.47,2023-06-04,62.6,10.486320000000003,1.7763568394002505e-15
BR-00059,Local Road,Prestressed Concrete,2011,13,60,Urban West,Mild,0.0217,9,0,2220,1298.0,35,28,0.0,0.0,65.2,65.0,10.5,0.2,0.08,2023-04-25,3.6,0.42483999999999994,1.1102230246251565e-16
BR-00060,Highway,Steel (A36),2009,15,100,Coastal Carolina,Severe,0.1105,7,0,12938,735.0,450,250,6.9e-12,3.0,13.9,12.2,70.8,0.15,0.11,2023-05-05,3.2,0.336182,0.04179821008799302
BR-00061,Interstate,Steel (A36),1965,59,75,Industrial Ohio,Moderate,0.0595,7,0,9374,3771.0,450,250,6.9e-12,3.0,22.4,18.9,201.9,1.31,0.45,2021-02-06,21.9,3.9677300000000013,1.3322676295501878e-15
BR-00062,Highway,Steel (A36),1994,30,75,Urban West,Mild,0.0521,8,0,49510,3058.0,450,250,6.9e-12,3.0,20.3,18.8,542.1,0.67,0.48,2022-12-03,9.5,1.8655000000000004,4.440892098500626e-16
BR-00063,Local Road,Steel (A36),1983,41,60,Industrial New Jersey,Moderate,0.0609,7,0,5078,1206.0,450,250,6.9e-12,3.0,15.1,12.6,76.0,0.33,0.19,2022-12-14,4.3,0.7629359100000002,0.09478635508020129
BR-00064,Highway,Steel (A36),1979,45,75,Rural South,Mild,0.0369,8,0,35887,728.0,450,250,6.9e-12,3.0,10.1,8.4,589.4,0.23,0.1,2020-06-16,5.0,0.5879669999999999,0.06570972652317163
BR-00065,Highway,Prestressed Concrete,1991,33,60,Coastal Texas,Severe,0.0483,8,0,22505,915.0,35,28,0.0,0.0,68.3,66.7,271.1,0.36,0.17,2023-04-13,4.3,0.7130202800000002,0.08266926102270179
BR-00066,Interstate,Composite Steel-Concrete,1966,58,50,Coastal Florida,Severe,0.1095,4,1,32858,511.0,400,230,6.5e-12,3.0,59.1,52.7,695.6,0.17,0.06,2022-04-03,2.5,0.44238749999999993,0.05504354951990289
BR-00067,Interstate,Prestressed Concrete,1962,62,75,Coastal Texas,Severe,0.0358,8,0,87245,2211.0,35,28,0.0,0.0,69.0,66.7,1974.4,0.8,0.46,2021-03-27,9.7,1.9809018800000002,0.2262469486577806
BR-00068,Highway,Aluminium Alloy,1985,39,60,Coastal Florida,Severe,0.0514,8,0,21428,1351.0,310,275,5e-12,3.1,33.8,31.8,305.0,0.29,0.17,2022-08-05,3.4,0.77038,1.1102230246251565e-16
BR-00069,Interstate,Steel (A36),1944,80,75,Pacific Northwest,Mild,0.0271,8,0,10371,1686.0,450,250,6.9e-12,3.0,17.6,15.4,302.8,0.43,0.22,2021-08-11,6.0,1.2001729999999995,0.13457232577316927
BR-00070,Local Road,Steel (A36),1969,55,75,Urban West,Mild,0.053,6,0,1731,745.0,450,250,6.9e-12,3.0,17.6,14.7,34.7,0.25,0.16,2023-11-01,6.1,0.9691500000000004,3.3306690738754696e-16
BR-00071,Highway,Timber,1990,34,75,Urban West,Mild,0.0236,8,0,19987,6327.0,8,5,0.0,0.0,30.2,29.4,248.0,1.85,1.06,2021-01-01,24.1,4.8482199999999995,8.881784197001252e-16
BR-00072,Interstate,Reinforced Concrete,1990,34,75,Urban West,Mild,0.0171,8,0,15738,2379.0,25,20,0.0,0.0,41.5,40.9,195.3,0.53,0.24,2020-01-20,11.3,1.2182581000000001,0.14128044493014738
BR-00073,Highway,Cast Iron,1985,39,60,Industrial New Jersey,Moderate,0.0294,7,0,22265,8966.0,200,130,1.2e-11,3.8,12.8,11.7,316.9,2.49,1.69,2020-07-15,61.8,8.567260000000001,1.7763568394002505e-15
BR-00074,Highway,Reinforced Concrete,1981,43,60,Rural Midwest,Mild,0.0093,9,0,34593,2744.0,25,20,0.0,0.0,48.6,48.2,542.9,0.92,0.49,2022-10-14,16.6,2.1843283000000002,0.17480873818768217
BR-00075,Highway,Steel (A36),1961,63,50,Coastal California,Moderate,0.0871,4,1,22587,1338.0,450,250,6.9e-12,3.0,11.4,5.9,519.4,0.23,0.16,2023-05-11,5.3,0.85615653,0.10567390442913283
BR-00076,Highway,Aluminium Alloy,1969,55,100,Desert Southwest,Mild,0.0101,8,0,16022,2269.0,310,275,5e-12,3.1,39.8,39.2,321.6,0.76,0.48,2022-02-17,16.0,2.237660000000001,0.25295775682117366
BR-00077,Highway,Reinforced Concrete,1999,25,75,Rural South,Mild,0.0283,9,0,32329,2063.0,25,20,0.0,0.0,46.0,45.3,295.0,0.58,0.36,2022-07-24,6.5,1.4332500000000004,2.220446049250313e-16
BR-00078,Local Road,Prestressed Concrete,1994,30,50,Urban West,Mild,0.0195,9,0,1864,870.0,35,28,0.0,0.0,58.3,57.8,20.4,0.22,0.16,2020-09-27,2.6,0.5953999999999999,1.1102230246251565e-16
BR-00079,Interstate,Composite Steel-Concrete,1989,35,75,Coastal California,Moderate,0.0603,8,0,11201,1059.0,400,230,6.5e-12,3.0,45.5,43.4,143.1,0.19,0.12,2021-11-13,4.3,0.5986499999999999,1.1102230246251565e-16
BR-00080,Interstate,Steel (A36),2004,20,100,Rural South,Mild,0.0385,9,0,8512,572.0,450,250,6.9e-12,3.0,18.8,18.0,62.1,0.16,0.08,2020-07-02,2.8,0.304436,0.027784610416559736
BR-00081,Interstate,Steel (A514 HY),1952,72,75,Pacific Northwest,Mild,0.0533,5,0,44953,898.0,760,690,4.5e-12,3.2,15.8,11.9,1181.4,0.24,0.1,2021-08-10,5.0,0.80521,0.10495273936396324
BR-00082,Highway,Prestressed Concrete,1970,54,100,Urban Midwest,Moderate,0.033,8,0,15724,1228.0,35,28,0.0,0.0,42.7,41.0,309.9,0.21,0.12,2022-05-08,4.2,0.7238399999999997,2.220446049250313e-16
BR-00083,Highway,Stainless Steel 316L,1950,74,50,Rural South,Mild,0.0048,9,0,44119,1242.0,515,205,3.1e-12,3.2,24.1,23.7,1191.7,0.47,0.37,2020-12-08,8.8,1.5359359999999997,0.12929864916736603
BR-00084,Interstate,Steel (A36),1968,56,75,Coastal Florida,Severe,0.0992,5,0,19139,2224.0,450,250,6.9e-12,3.0,11.2,5.7,391.2,0.71,0.23,2023-03-06,6.9,1.7243199999999996,4.440892098500626e-16
BR-00085,Highway,Stainless Steel 316L,1965,59,60,Urban Midwest,Moderate,0.0068,9,0,8485,824.0,515,205,3.1e-12,3.2,11.7,11.3,182.7,0.24,0.13,2021-06-17,4.5,0.8261499999999999,0.0
BR-00086,Interstate,Steel (A588 Weathering),2002,22,60,Coastal Carolina,Severe,0.0574,7,0,13489,1019.0,485,345,5.2e-12,2.8,11.1,9.8,108.3,0.29,0.22,2020-09-26,2.6,0.61926896,0.07819791619275802
BR-00087,Pedestrian,Reinforced Concrete,1967,57,75,Urban Northeast,Moderate,0.0241,8,0,1489,15208.0,25,20,0.0,0.0,67.5,66.1,3.1,5.79,1.85,2021-02-14,73.9,12.538548170000002,1.4196022747301318
BR-00088,Local Road,Reinforced Concrete,1989,35,60,Pacific Northwest,Mild,0.0156,8,0,2363,4066.0,25,20,0.0,0.0,58.5,57.9,30.2,1.37,0.69,2020-02-27,15.8,2.7697800000000004,0.3075246793657381
BR-00089,Interstate,Reinforced Concrete,1966,58,75,Rural Mountain,Mild,0.0121,9,0,25393,2376.0,25,20,0.0,0.0,64.9,64.2,537.6,0.45,0.15,2022-11-14,5.2,1.17208,0.0
BR-00090,Railroad,Prestressed Concrete,1963,61,75,Industrial Ohio,Moderate,0.0258,7,0,89,986.0,35,28,0.0,0.0,50.1,48.6,99.1,0.16,0.12,2022-06-14,3.6,0.6494800000000003,2.220446049250313e-16
BR-00091,Pedestrian,Composite Steel-Concrete,2023,1,75,Rural Mountain,Mild,0.0177,9,0,14578,4303.0,400,230,6.5e-12,3.0,56.1,56.1,0.5,1.29,0.69,2023-01-19,22.1,2.602730000000001,8.881784197001252e-16
BR-00092,Pedestrian,Reinforced Concrete,1983,41,75,Coastal Texas,Severe,0.0672,7,0,12148,1791.0,25,20,0.0,0.0,48.7,45.9,18.2,0.67,0.42,2021-05-01,16.6,1.9177368600000004,0.2429508387334985
BR-00093,Highway,Steel (A36),1958,66,50,Industrial New Jersey,Moderate,0.0528,7,0,13773,492.0,450,250,6.9e-12,3.0,18.9,15.4,331.8,0.13,0.09,2020-10-22,1.3,0.333322,0.04200039153070363
BR-00094,Interstate,Timber,1980,44,100,Rural South,Mild,0.035,8,0,30473,2862.0,8,5,0.0,0.0,17.5,16.0,489.4,0.53,0.26,2020-09-27,10.9,1.6504800000000008,6.661338147750939e-16
BR-00095,Local Road,Steel (A36),1994,30,60,Industrial Ohio,Moderate,0.0416,8,0,2333,302.0,450,250,6.9e-12,3.0,18.2,17.0,25.5,0.07,0.03,2023-05-17,0.7,0.15730000000000008,5.551115123125783e-17
BR-00096,Highway,Steel (A36),1954,70,50,Pacific Northwest,Mild,0.054,6,0,83613,1959.0,450,250,6.9e-12,3.0,21.9,18.1,2136.3,0.61,0.44,2021-05-15,11.9,2.1055706,0.2768580605472596
BR-00097,Interstate,Reinforced Concrete,2016,8,60,Coastal Texas,Severe,0.0476,9,0,33241,982.0,25,20,0.0,0.0,51.6,51.3,97.1,0.3,0.12,2021-07-22,4.3,0.59072,0.0
BR-00098,Highway,Steel (A36),1939,85,75,Rural South,Mild,0.027,7,0,11698,678.0,450,250,6.9e-12,3.0,10.3,8.0,362.9,0.12,0.05,2020-11-10,1.9,0.36093720000000007,0.04582951232677478
BR-00099,Local Road,Reinforced Concrete,1971,53,50,Urban Midwest,Moderate,0.0333,7,0,5703,1192.0,25,20,0.0,0.0,57.6,55.8,110.3,0.23,0.1,2022-02-11,4.0,0.5901296,0.07393134306476519
BR-00100,Highway,Timber,1962,62,60,Urban Northeast,Moderate,0.0402,7,0,68768,1781.0,8,5,0.0,0.0,32.0,29.5,1556.2,0.63,0.47,2023-06-03,8.1,1.7507239399999999,0.22494888000000002
BR-00101,Local Road,Reinforced Concrete,1972,52,50,Pacific Northwest,Mild,0.0225,8,0,2510,887.0,25,20,0.0,0.0,49.3,48.1,47.6,0.18,0.13,2022-11-22,3.4,0.51425552,0.05906302492441783
BR-00102,Railroad,Steel (A36),1934,90,60,Desert Southwest,Mild,0.0268,7,0,19,1679.0,450,250,6.9e-12,3.0,17.6,15.2,31.2,0.39,0.15,2022-12-24,4.5,1.2285,2.220446049250313e-16
BR-00103,Highway,Steel (A36),1959,65,50,Coastal Florida,Severe,0.1088,3,1,5556,2845.0,450,250,6.9e-12,3.0,21.9,14.8,131.8,0.53,0.21,2020-01-15,9.4,1.6209297999999996,0.1908683313906212
BR-00104,Railroad,Timber,1965,59,100,Urban Midwest,Moderate,0.0444,6,0,37,1225.0,8,5,0.0,0.0,16.1,13.5,39.8,0.4,0.12,2023-12-17,7.2,1.22824,2.220446049250313e-16
BR-00105,Highway,Reinforced Concrete,1943,81,100,Coastal Florida,Severe,0.0417,6,0,46466,1181.0,25,20,0.0,0.0,52.8,49.4,1373.8,0.2,0.06,2021-05-19,2.3,0.49798154000000006,0.06530483892170628
BR-00106,Highway,Steel (A514 HY),1986,38,75,Rural Mountain,Mild,0.0194,8,0,13058,3614.0,760,690,4.5e-12,3.2,15.4,14.6,181.1,0.73,0.24,2020-05-12,6.7,1.29366744,0.1449876236041008
BR-00107,Local Road,Prestressed Concrete,1963,61,75,Urban Midwest,Moderate,0.0384,6,0,3332,779.0,35,28,0.0,0.0,53.5,51.2,74.2,0.23,0.12,2023-04-28,5.2,0.8673599999999998,2.220446049250313e-16
BR-00108,Local Road,Reinforced Concrete,1953,71,100,Rural Midwest,Mild,0.0159,8,0,1703,1334.0,25,20,0.0,0.0,68.2,67.1,44.1,0.31,0.2,2021-02-03,5.4,1.16142,0.0
BR-00109,Highway,Aluminium Alloy,1990,34,75,Coastal California,Moderate,0.031,9,0,23650,2016.0,310,275,5e-12,3.1,33.6,32.5,293.5,0.41,0.27,2021-04-20,5.0,0.8765199999999997,0.06957295433571871
BR-00110,Railroad,Steel (A36),1972,52,75,Industrial New Jersey,Moderate,0.0973,5,0,99,3264.0,450,250,6.9e-12,3.0,10.3,5.3,94.0,1.08,0.72,2023-12-07,24.2,3.975920000000001,8.881784197001252e-16
BR-00111,Highway,Steel (A36),1965,59,75,Coastal Texas,Severe,0.0788,5,0,5097,2853.0,450,250,6.9e-12,3.0,12.7,8.0,109.8,0.69,0.51,2023-04-28,11.3,2.1517450900000004,0.2795964546630144
BR-00112,Local Road,Prestressed Concrete,1977,47,100,Industrial Michigan,Moderate,0.0358,7,0,6885,1974.0,35,28,0.0,0.0,46.6,44.9,118.1,0.7,0.47,2020-12-14,13.0,1.9370155999999996,0.24244506448059536
BR-00113,Highway,Reinforced Concrete,1996,28,75,Rural Midwest,Mild,0.0144,9,0,37086,1619.0,25,20,0.0,0.0,54.6,54.2,379.0,0.55,0.41,2021-03-19,9.9,1.6083600000000011,8.881784197001252e-16
BR-00114,Local Road,Prestressed Concrete,1997,27,75,Coastal Florida,Severe,0.0331,8,0,7857,3819.0,35,28,0.0,0.0,66.9,66.0,77.4,0.85,0.65,2023-05-02,8.4,1.8376605600000002,0.207216
BR-00115,Railroad,Composite Steel-Concrete,1933,91,75,Urban West,Mild,0.0408,7,0,46,773.0,400,230,6.5e-12,3.0,69.9,66.1,76.4,0.25,0.18,2023-09-02,6.0,1.0571055999999999,0.1335293204655816
BR-00116,Highway,Steel (A36),1960,64,75,Coastal Carolina,Severe,0.1146,3,1,60546,829.0,450,250,6.9e-12,3.0,13.0,5.7,1414.4,0.28,0.09,2020-08-27,6.6,1.03012,0.0
